MMSI,Latitude,Longitude,COG,SOG,Time
253415000,51.2306,2.9356,251.0,0.0,20/11/2018 15:23:34.140
230357000,52.0434,2.1362,268.7,14.1,20/11/2018 15:23:35.254
255801480,51.4626,2.8848,54.8,0.4,20/11/2018 15:23:35.622
232003119,51.4622,0.2994,355.3,0.0,20/11/2018 15:23:35.665
249804000,51.5118,0.1527,58.0,0.1,20/11/2018 15:23:36.257
563499000,50.5704,0.2299,255.4,14.6,20/11/2018 15:23:36.315
225988601,51.117,1.311,49.0,0.0,20/11/2018 15:23:36.325
319922000,50.7603,0.6037,61.1,6.0,20/11/2018 15:23:37.029
235053693,51.4873,0.1762,227.0,0.0,20/11/2018 15:23:37.193
205595000,51.2268,2.9346,315.3,0.0,20/11/2018 15:23:37.314
244597000,51.4604,0.3327,298.3,0.0,20/11/2018 15:23:37.832
235107401,51.3296,1.4221,170.1,0.0,20/11/2018 15:23:37.898
232004296,52.4761,1.7194,117.1,0.0,20/11/2018 15:23:38.178
232014314,52.0905,1.3231,360.0,0.0,20/11/2018 15:23:39.039
235062747,52.4732,1.7515,181.0,0.3,20/11/2018 15:23:39.043
209214000,51.0101,1.6259,41.1,8.0,20/11/2018 15:23:39.273
232003331,52.599,1.7261,26.1,0.0,20/11/2018 15:23:39.505
219876000,52.6759,2.046,342.5,12.4,20/11/2018 15:23:39.650
235099056,52.4734,1.7537,152.4,0.1,20/11/2018 15:23:39.722
235082716,50.9831,1.6462,109.3,20.0,20/11/2018 15:23:39.977
477170700,52.374,2.1194,223.6,1.0,20/11/2018 15:23:40.068
209488000,50.7065,0.6962,237.0,12.0,20/11/2018 15:23:40.120
205639000,51.2268,2.9345,305.9,0.0,20/11/2018 15:23:40.122
235004900,52.2194,2.208,107.0,2.5,20/11/2018 15:23:40.265
212931000,51.1857,1.9758,59.3,13.6,20/11/2018 15:23:40.426
002278000,50.9671,1.8476,243.8,0.0,20/11/2018 15:23:40.462
355468000,51.4588,0.3562,134.3,0.0,20/11/2018 15:23:40.659
305847000,51.3778,2.9554,70.2,9.3,20/11/2018 15:23:40.728
235099481,51.4485,0.3424,104.1,8.6,20/11/2018 15:23:41.252
245445000,51.3602,2.8792,29.8,4.3,20/11/2018 15:23:41.504
205593000,51.3592,2.7122,11.9,4.6,20/11/2018 15:23:41.505
205261000,50.7584,0.7098,131.1,4.6,20/11/2018 15:23:41.559
253609000,51.2294,2.9272,207.0,0.2,20/11/2018 15:23:41.793
235067679,51.4459,0.3843,101.4,0.0,20/11/2018 15:23:41.869
235078687,52.4746,1.7191,0.0,0.0,20/11/2018 15:23:42.402
413000000,52.4763,1.722,310.8,0.0,20/11/2018 15:23:42.502
245928000,51.1848,1.8881,212.1,0.6,20/11/2018 15:23:42.572
248948000,51.4698,2.2233,37.0,10.4,20/11/2018 15:23:42.573
228231600,51.0944,1.7214,45.8,1.4,20/11/2018 15:23:42.580
229978000,51.0199,2.1731,335.4,8.7,20/11/2018 15:23:42.581
219092000,51.2282,2.9315,100.4,0.0,20/11/2018 15:23:43.577
249436000,51.4712,0.2483,167.9,0.0,20/11/2018 15:23:43.795
228096900,51.0645,1.6437,235.9,4.1,20/11/2018 15:23:44.017
232007860,52.2323,1.9359,102.0,2.4,20/11/2018 15:23:44.059
235055098,51.4457,0.3711,200.0,0.0,20/11/2018 15:23:44.277
235068963,52.7925,2.5831,297.9,12.0,20/11/2018 15:23:44.338
355507000,52.3248,2.3683,230.6,3.2,20/11/2018 15:23:44.339
244750645,51.3626,1.7095,264.0,6.4,20/11/2018 15:23:44.635
232005627,52.4754,1.7585,18.5,0.0,20/11/2018 15:23:44.757
235050291,52.601,1.7266,360.0,0.0,20/11/2018 15:23:45.254
211745110,50.7624,2.9953,360.0,0.0,20/11/2018 15:23:46.184
227144600,51.0874,1.6938,1.4,2.6,20/11/2018 15:23:46.488
255805777,50.74,1.376,18.0,8.1,20/11/2018 15:23:46.507
205294000,51.2321,2.9357,211.7,0.0,20/11/2018 15:23:46.510
311037500,51.0819,1.7211,47.4,9.6,20/11/2018 15:23:46.559
235089035,52.5986,1.7261,349.7,0.0,20/11/2018 15:23:46.638
227384000,51.1712,1.9038,255.8,1.2,20/11/2018 15:23:46.806
247003000,52.7407,2.1368,290.0,9.9,20/11/2018 15:23:47.010
244116000,51.5047,0.8889,299.1,5.8,20/11/2018 15:23:47.161
235114376,51.3296,1.4219,169.7,0.0,20/11/2018 15:23:47.227
249486000,51.4505,0.3649,187.0,0.0,20/11/2018 15:23:47.358
235022612,51.4456,0.375,235.4,0.1,20/11/2018 15:23:47.370
