Time,Latitude,Longitude,SOG (NM/s),COG,Track Number,Confirmed Track
15:15:51.7578125,37.6102126,-9.6361448,0.0031128,349.0191650,1749,1
15:15:51.7578125,38.4725807,-8.8095592,0.0000000,95.9930420,1765,1
15:15:51.7578125,37.9057640,-8.8678177,0.0000000,8.1903076,1537,0
15:15:51.7578125,37.7348210,-9.8123127,0.0054321,166.5087891,1694,1
15:15:51.7578125,37.9480196,-8.8833679,0.0001221,349.7003174,1731,1
15:15:51.7578125,37.8863831,-8.9760618,0.0001831,141.6906738,1763,1
15:15:51.7578125,37.3934033,-9.4771172,0.0034180,346.0473633,1769,1
15:15:51.7578125,38.1498405,-9.7646909,0.0034180,341.9165039,1770,0
15:15:51.7578125,37.9076539,-8.8779269,0.0000000,17.4792480,947,1
15:15:51.7578125,38.4322682,-9.1220916,0.0000610,158.2415771,1772,1
15:15:51.7578125,38.3428776,-9.0803706,0.0027466,222.8137207,1764,0
15:15:51.765625,37.8934421,-8.8585155,0.0001221,351.1779785,1762,1
15:15:51.765625,37.8911265,-8.8703605,0.0000000,28.9984131,1602,1
15:15:51.765625,37.9166640,-8.8572777,0.0000000,260.4309082,1388,0
15:15:51.765625,37.5735040,-9.5159261,0.0026855,349.3652344,1752,0
15:15:52.7578125,37.6547492,-9.5288381,0.0040283,344.3060303,1641,0
15:15:52.7578125,37.9155284,-8.8659888,0.0000000,89.4891357,936,1
15:15:52.7578125,37.6102126,-9.6361448,0.0031128,349.0191650,1749,1
15:15:52.7578125,38.4725807,-8.8095592,0.0000000,95.9930420,1765,1
15:15:52.7578125,37.9057640,-8.8678177,0.0000000,8.1903076,1537,0
15:15:52.7578125,37.7348210,-9.8123127,0.0054321,166.5087891,1694,1
15:15:52.7578125,37.9480196,-8.8833679,0.0001221,349.7003174,1731,1
15:15:52.7578125,37.8863831,-8.9760618,0.0001831,141.6906738,1763,1
15:15:52.7578125,37.3934033,-9.4771172,0.0034180,346.0473633,1769,1
15:15:52.7578125,38.1498405,-9.7646909,0.0034180,341.9165039,1770,0
15:15:52.7578125,37.9076539,-8.8779269,0.0000000,17.4792480,947,1
15:15:52.7578125,38.4322682,-9.1220916,0.0000610,158.2415771,1772,1
15:15:52.7578125,38.3428776,-9.0803706,0.0027466,222.8137207,1764,0
15:15:52.7578125,37.8934421,-8.8585155,0.0001221,351.1779785,1762,1
15:15:52.7578125,37.8911265,-8.8703605,0.0000000,28.9984131,1602,1
15:15:52.7578125,37.9166640,-8.8572777,0.0000000,260.4309082,1388,0
15:15:52.7578125,37.5735040,-9.5159261,0.0026855,349.3652344,1752,0
15:15:53.765625,37.6547492,-9.5288381,0.0040283,344.3060303,1641,0
15:15:53.765625,37.9155284,-8.8659888,0.0000000,89.4891357,936,1
15:15:53.765625,37.6102126,-9.6361448,0.0031128,349.0191650,1749,1
15:15:53.765625,38.4725807,-8.8095592,0.0000000,95.9930420,1765,1
15:15:53.765625,37.9057640,-8.8678177,0.0000000,8.1903076,1537,0
15:15:53.765625,37.7348210,-9.8123127,0.0054321,166.5087891,1694,1
15:15:53.765625,37.9480196,-8.8833679,0.0001221,349.7003174,1731,1
15:15:53.765625,37.8863831,-8.9760618,0.0001831,141.6906738,1763,1
15:15:53.765625,37.3934033,-9.4771172,0.0034180,346.0473633,1769,1
15:15:53.765625,38.1498405,-9.7646909,0.0034180,341.9165039,1770,0
15:15:53.765625,37.9076539,-8.8779269,0.0000000,17.4792480,947,1
15:15:53.765625,38.4322682,-9.1220916,0.0000610,158.2415771,1772,1
15:15:53.765625,38.3428776,-9.0803706,0.0027466,222.8137207,1764,0
15:15:53.765625,37.8934421,-8.8585155,0.0001221,351.1779785,1762,1
15:15:53.7734375,37.8911265,-8.8703605,0.0000000,28.9984131,1602,1
15:15:53.7734375,37.9166640,-8.8572777,0.0000000,260.4309082,1388,0
15:15:53.7734375,37.5735040,-9.5159261,0.0026855,349.3652344,1752,0
15:15:54.765625,37.6547492,-9.5288381,0.0040283,344.3060303,1641,0
15:15:54.765625,37.9155284,-8.8659888,0.0000000,89.4891357,936,1
15:15:54.765625,37.6102126,-9.6361448,0.0031128,349.0191650,1749,1
15:15:54.765625,38.4725807,-8.8095592,0.0000000,95.9930420,1765,1
15:15:54.765625,37.9057640,-8.8678177,0.0000000,8.1903076,1537,0
15:15:54.765625,37.7348210,-9.8123127,0.0054321,166.5087891,1694,1
15:15:54.765625,37.9480196,-8.8833679,0.0001221,349.7003174,1731,1
15:15:54.765625,37.8863831,-8.9760618,0.0001831,141.6906738,1763,1
15:15:54.765625,37.3934033,-9.4771172,0.0034180,346.0473633,1769,1
15:15:54.765625,38.1498405,-9.7646909,0.0034180,341.9165039,1770,0
15:15:54.765625,37.9076539,-8.8779269,0.0000000,17.4792480,947,1
15:15:54.765625,38.4322682,-9.1220916,0.0000610,158.2415771,1772,1
15:15:54.765625,38.3428776,-9.0803706,0.0027466,222.8137207,1764,0
15:15:54.765625,37.8934421,-8.8585155,0.0001221,351.1779785,1762,1
15:15:54.765625,37.8911265,-8.8703605,0.0000000,28.9984131,1602,1
15:15:54.765625,37.9166640,-8.8572777,0.0000000,260.4309082,1388,0
15:15:54.765625,37.5735040,-9.5159261,0.0026855,349.3652344,1752,0
15:15:55.765625,37.6547492,-9.5288381,0.0040283,344.3060303,1641,0
15:15:55.765625,37.9155284,-8.8659888,0.0000000,89.4891357,936,1
15:15:55.765625,37.6102126,-9.6361448,0.0031128,349.0191650,1749,1
15:15:55.765625,38.4725807,-8.8095592,0.0000000,95.9930420,1765,1
15:15:55.765625,37.9057640,-8.8678177,0.0000000,8.1903076,1537,0
15:15:55.765625,37.7348210,-9.8123127,0.0054321,166.5087891,1694,1
15:15:55.765625,37.9480196,-8.8833679,0.0001221,349.7003174,1731,1
15:15:55.765625,37.8863831,-8.9760618,0.0001831,141.6906738,1763,1
15:15:55.765625,37.3934033,-9.4771172,0.0034180,346.0473633,1769,1
15:15:55.765625,38.1498405,-9.7646909,0.0034180,341.9165039,1770,0
15:15:55.765625,37.9076539,-8.8779269,0.0000000,17.4792480,947,1
15:15:55.765625,38.4322682,-9.1220916,0.0000610,158.2415771,1772,1
15:15:55.765625,38.3428776,-9.0803706,0.0027466,222.8137207,1764,0
15:15:55.765625,37.8934421,-8.8585155,0.0001221,351.1779785,1762,1
15:15:55.765625,37.8911265,-8.8703605,0.0000000,28.9984131,1602,1
15:15:55.765625,37.9166640,-8.8572777,0.0000000,260.4309082,1388,0
15:15:55.765625,37.5735040,-9.5159261,0.0026855,349.3652344,1752,0
15:15:56.7578125,37.6547492,-9.5288381,0.0040283,344.3060303,1641,0
15:15:56.7578125,37.9155284,-8.8659888,0.0000000,89.4891357,936,1
